year,age,networth,networth_infadj,wgt
2016,61,1251069.785794814,1330019.2688766576,4750.742805942782
2016,41,8178.482525366404,8694.590399685629,3913.9090462029153
2016,41,8055.145434047351,8563.470049818556,3896.5128790106733
2016,41,8178.482525366404,8694.590399685629,3893.8366217531484
2016,41,8178.482525366404,8694.590399685629,3894.425367982386
2016,41,8178.482525366404,8694.590399685629,3885.576144182636
2016,32,7955.242390078918,8457.262566426225,4250.633948843962
2016,32,7955.242390078918,8457.262566426225,4252.409544380249
2016,32,7955.242390078918,8457.262566426225,4266.437953743834
2016,32,7955.242390078918,8457.262566426225,4245.912142201766
2016,32,7831.905298759864,8326.142216559152,4257.5551473757705
2016,45,439622.7282976325,467365.37506619596,3594.679021456842
2016,45,437081.98421645997,464664.29585893423,3468.3507794641846
2016,45,438327.68883878243,465988.6113925917,3549.7050895644993
2016,45,436984.5479143179,464560.7107825392,3526.1310717696056
2016,45,437007.9819616685,464585.623649014,3451.4415548463985
2016,82,1043925.1409244644,1109802.641274908,5462.503468032918
2016,82,1044048.4780157836,1109933.7616247751,5188.31095186906
2016,82,1043925.1409244644,1109802.641274908,5353.298242013772
2016,82,1044048.4780157836,1109933.7616247751,5266.573089108902
2016,82,1044048.4780157836,1109933.7616247751,5232.458245817845
2016,40,10700787.711386697,11376067.11464221,181.5058151735569
2016,40,10699554.340473507,11374755.91114354,185.00603503630217
2016,40,10700787.711386697,11376067.11464221,184.77596466689675
2016,40,10700787.711386697,11376067.11464221,178.8955057426587
2016,40,10700787.711386697,11376067.11464221,188.56744788388494
2016,44,21954.00225479143,23339.42227633904,3952.598789639924
2016,44,21954.00225479143,23339.42227633904,3989.5959963425935
2016,44,21954.00225479143,23339.42227633904,3956.9075492532597
2016,44,21954.00225479143,23339.42227633904,3972.1269245974595
2016,44,21954.00225479143,23339.42227633904,4000.0576751569
2016,53,168256.4599774521,178874.38128866136,6176.121435566485
2016,53,122436.7305524239,130163.17131304364,6275.8010004488315
