year,age,hours_per_week,weeks_worked,weight
2023,27,40,52,185683
2023,36,40,52,173016
2023,38,40,52,161335
2023,80,30,52,121005
2023,75,0,0,136532
2023,49,40,52,195972
2023,80,0,0,123147
2023,23,40,52,300248
2023,71,0,0,141204
2023,79,0,0,131749
2023,67,45,52,167968
2023,65,0,0,170520
2023,76,10,16,133873
2023,54,40,52,176025
2023,47,45,52,136819
2023,67,0,0,121518
2023,75,40,52,123147
2023,79,0,0,136069
2023,71,0,0,137900
2023,85,0,0,125456
2023,69,0,0,135971
2023,70,60,4,137900
2023,57,40,52,162216
2023,57,40,52,152697
2023,80,0,0,121755
2023,44,40,52,138233
2023,59,0,0,140113
2023,63,55,52,126525
2023,41,40,52,157299
2023,36,24,20,203985
2023,71,15,52,99462
2023,70,30,52,107337
2023,62,40,52,142841
2023,30,35,52,167553
2023,59,12,52,140431
2023,37,0,0,243648
2023,50,40,30,160454
2023,27,40,52,167950
2023,32,38,52,217055
2023,31,40,52,244853
2023,52,0,0,168737
2023,85,0,0,133606
2023,74,0,0,127925
2023,71,0,0,120659
2023,61,32,52,114172
2023,34,40,52,264543
2023,61,0,0,213801
2023,59,40,52,195351
2023,32,40,52,146103
2023,33,40,48,160603
2023,60,40,52,155807
2023,51,24,49,124173
2023,29,40,52,261488
2023,24,30,12,271057
2023,44,35,52,157610
2023,42,55,52,149011
2023,78,0,0,129458
2023,26,0,0,0
2023,29,50,52,0
2023,26,30,40,0
2023,29,40,52,0
2023,28,40,52,0
2023,30,40,52,0
2023,28,40,52,0
2023,53,40,52,0
2023,24,40,52,0
2023,39,55,52,0
2023,36,40,52,0
2023,28,60,52,0
2023,54,35,44,183720
2023,58,45,52,162819
2023,74,0,0,107460
2023,74,0,0,115969
2023,34,0,0,168399
2023,40,0,0,146253
2023,40,40,52,204477
2023,54,40,52,127951
2023,56,45,52,140458
2023,26,40,52,248380
2023,26,15,52,248380
2023,43,50,52,0
2023,42,0,0,0
2023,67,0,0,121518
2023,74,0,0,118021
2023,75,0,0,123147
2023,77,0,0,148934
2023,78,0,0,146904
2023,63,40,52,137789
2023,73,45,52,141204
2023,66,10,40,121518
2023,67,30,50,120898
2023,40,40,48,296000
2023,53,50,50,144383
2023,24,36,26,403111
2023,53,40,52,140376
2023,64,50,52,139127
2023,63,20,52,126215
2023,44,40,52,129348
2023,47,40,52,136811
2023,71,0,0,118021
2023,53,40,52,176025
2023,54,40,52,160640
2023,37,40,30,338447
2023,30,66,52,237724
2023,80,0,0,131757
2023,85,0,0,123154
2023,39,50,52,176087
2023,36,40,52,164200
2023,67,0,0,170530
2023,72,0,0,151760
2023,50,52,52,176035
2023,49,32,52,158623
2023,35,36,52,164200
2023,33,0,0,184241
2023,80,0,0,144350
2023,85,0,0,134158
2023,65,0,0,119405
2023,80,0,0,121005
2023,78,0,0,144350
2023,63,60,11,140239
2023,67,0,0,151908
2023,62,0,0,152866
2023,27,40,52,244920
2023,33,40,52,161148
2023,56,40,52,151409
2023,49,40,52,134432
2023,73,0,0,107460
2023,23,80,52,0
2023,26,40,52,0
2023,59,43,52,140458
2023,45,50,52,124709
2023,22,0,0,367430
2023,32,40,52,184925
2023,80,0,0,124173
2023,79,0,0,133606
2023,57,0,0,150700
2023,85,0,0,133606
2023,38,40,52,164464
2023,79,0,0,144023
2023,48,50,52,192128
2023,43,40,26,157299
2023,21,0,0,216767
2023,70,0,0,99462
2023,79,0,0,131248
2023,80,40,52,133401
2023,68,0,0,146163
2023,67,0,0,126136
2023,49,0,0,191040
2023,46,65,52,178636
2023,53,40,52,131611
2023,53,25,52,127951
2023,49,0,0,154970
2023,76,0,0,116646
2023,80,0,0,116646
2023,68,0,0,146163
2023,64,10,1,122818
2023,85,0,0,135358
2023,77,0,0,125456
2023,48,0,0,166674
2023,73,0,0,138434
2023,36,40,52,331790
2023,37,40,52,262050
2023,76,0,0,133401
2023,75,0,0,131248
2023,43,50,52,157610
2023,44,45,52,149011
2023,72,0,0,130067
2023,74,0,0,137900
2023,60,40,52,156580
2023,46,40,52,128063
2023,60,43,52,162450
2023,55,45,52,162450
2023,69,0,0,157917
2023,62,30,52,136316
2023,51,35,52,137927
2023,25,40,52,262081
2023,49,0,0,144583
2023,80,0,0,116646
2023,44,40,52,199195
2023,46,40,52,154619
2023,54,40,52,172718
2023,60,60,52,214286
2023,63,45,52,126525
2023,53,11,40,127661
2023,75,0,0,133401
2023,74,0,0,142801
2023,40,50,52,231232
2023,40,40,52,138233
2023,42,40,52,138576
2023,38,0,0,204448
2023,38,20,52,164837
2023,59,16,52,136316
2023,62,60,46,136316
2023,50,60,52,167053
2023,52,55,52,137927
2023,55,60,52,151409
2023,23,40,52,396079
2023,62,24,52,121131
2023,23,40,26,271057
2023,57,40,52,130901
2023,25,24,48,261488
2023,37,0,0,164837
2023,33,0,0,251729
2023,80,0,0,144350
2023,80,0,0,134158
2023,43,40,52,220420
2023,30,40,20,185683
2023,73,0,0,137900
2023,63,36,20,132394
2023,36,40,52,172624
2023,30,0,0,158304
2023,53,40,40,137615
2023,80,0,0,133401
2023,80,0,0,131248
2023,31,40,50,216191
2023,85,0,0,125456
2023,63,40,52,140908
2023,37,40,52,160138
2023,33,40,52,146854
2023,61,40,52,122795
2023,58,40,52,127273
2023,30,0,0,181254
2023,59,0,0,151037
2023,33,40,52,251729
2023,32,40,52,161148
2023,30,40,52,217055
2023,63,40,52,176085
2023,53,36,52,143897
2023,29,40,52,225914
2023,56,0,0,130901
2023,66,40,52,146163
2023,65,40,52,140687
2023,67,40,52,140602
2023,43,40,52,149011
2023,21,20,30,176711
2023,35,32,52,217007
2023,35,40,52,217007
2023,57,0,0,140431
2023,36,36,16,160970
2023,65,0,0,151657
2023,61,40,52,153978
2023,36,0,0,136155
2023,37,40,52,160501
2023,58,40,52,152697
2023,59,40,52,162216
2023,31,40,52,158304
2023,70,30,52,148775
2023,66,6,52,167175
2023,52,40,52,157489
2023,52,50,50,172572
2023,56,35,52,141652
